genome_id	ncbi_biosample_accession_id	ncbi_lat_lon	lat_lon	date	ncbi_bioproject	domain	phylum	class	order	family	genus	species	collection_date	geographic_location_harmonized	host_harmonized	isolation_source_harmonized	project_name	env_broad_med_local	misc_attributes	google_earth_embeddings
RS_GCF_900029355.1	SAMEA3724638	50.936 N 6.952 E	50.936 N 6.952 E	2008-08-20	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter baumannii		Germany	Homo sapiens	tracheostoma			[ENA first public] 2016-02-24 --- [ENA last update] 2016-01-21 --- [ENA-CHECKLIST] ERC000011 --- [INSDC center alias] UNIVERSITY OF WARWICK --- [INSDC last update] 2016-01-21T16:06:39Z --- [collection date] 2008-08-20 --- [lat lon] 50.936 N 6.952 E --- [sample name] aci_baum5	[0.09842368319876971, -0.2679584775086506, 0.04822760476739715, -0.1929104190695886, 0.007443291041906958, -0.24415224913494812, 0.09842368319876971, -0.12456747404844293, -0.0629911572472126, -0.017777777777777778, 0.07972318339100345, 0.12456747404844293, -0.01384083044982699, -0.1085121107266436, -0.13588619761630144, -0.12456747404844293, 0.17279507881584008, 0.16633602460592078, 0.01574778931180315, 0.03543252595155709, 0.08421376393694734, 0.08882737408688965, -0.17279507881584008, 0.10340638216070744, 0.07111111111111111, 0.11374086889657825, 0.07972318339100345, -0.03254133025759323, 0.1929104190695886, -0.0271280276816609, 0.01384083044982699, -0.05911572472126105, -0.05536332179930796, -0.05536332179930796, 0.1085121107266436, -0.17279507881584008, -0.36472126105344094, -0.008858131487889272, 0.13016532103037293, -0.17279507881584008, -0.19986159169550174, -0.13016532103037293, -0.03254133025759323, -0.10340638216070744, 0.03844675124951941, 0.13016532103037293, -0.14769703960015382, 0.07111111111111111, 0.10340638216070744, 0.017777777777777778, -0.14769703960015382, 0.05536332179930796, -0.16000000000000003, -0.0271280276816609, 0.21413302575932336, -0.1929104190695886, 0.06698961937716265, -0.017777777777777778, 0.07111111111111111, -0.0629911572472126, 0.13016532103037293, 0.010396001537870049, -0.1085121107266436, 0.09356401384083046]
RS_GCF_910574675.1	SAMEA8801306		52.07944 N 0.18467 E	2016	PRJNA224116	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia	s__Adlercreutzia caecimuris		United Kingdom		Mouse faeces			[ENA first public] 2021-06-18 --- [ENA last update] 2021-06-18 --- [ENA-CHECKLIST] ERC000028 --- [INSDC center alias] UNIVERSITY OF CAMBRIDGE --- [INSDC last update] 2021-06-18T00:19:14Z --- [collection date] 2016 --- [host scientific name] Mus musculus --- [host_disease_state_harmonized] healthy --- [isolate] 12.EC.Ymh --- [lat lon] 52.07944 N 0.18467 E --- [project name] Mouse Culture Collection (MCC-MGBC) --- [sample name] MGBC000066	[-0.019930795847750864, -0.09842368319876971, 0.008858131487889272, -0.022206843521722412, 0.0629911572472126, -0.19986159169550174, 0.16633602460592078, -0.03254133025759323, -0.13016532103037293, -0.05536332179930796, 0.07535563244905807, 0.04822760476739715, -0.01384083044982699, -0.019930795847750864, -0.2761399461745483, -0.1085121107266436, 0.15378700499807765, 0.1085121107266436, 0.11374086889657825, 0.09356401384083046, 0.044844290657439445, 0.0005536332179930795, -0.07111111111111111, 0.14173010380622836, 0.12456747404844293, 0.08882737408688965, 0.21413302575932336, -0.019930795847750864, 0.05911572472126105, -0.15378700499807765, -0.007443291041906958, 0.08882737408688965, 0.03844675124951941, 0.07972318339100345, 0.186082276047674, -0.06698961937716265, -0.2679584775086506, 0.0271280276816609, -0.0015378700499807767, -0.15378700499807765, -0.10340638216070744, -0.16000000000000003, -0.003936947327950788, -0.08421376393694734, 0.0271280276816609, 0.11909265667051133, -0.22145328719723184, 0.041584006151480196, 0.14769703960015382, 0.019930795847750864, -0.3188927335640138, 0.16633602460592078, -0.0629911572472126, -0.05536332179930796, 0.24415224913494812, -0.2679584775086506, 0.03254133025759323, -0.041584006151480196, 0.07972318339100345, -0.1929104190695886, 0.07972318339100345, 0.002214532871972318, -0.13016532103037293, 0.06698961937716265]
RS_GCF_000371905.1	SAMN02261296	35.32 S 148.25 E	35.32 S 148.25 E	1998-12	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium leguminosarum_I	1998-12	Australia	Trifolium subterraneum		Rhizobium leguminosarum bv trifolii SRDI565		[Cell Shape] Rod-shaped --- [GOLD Stamp ID] Gi08843 --- [Gram Staining] Gram- --- [Isolation source] root nodule --- [Motility] Motile --- [Phenotypes] Non-Pathogen --- [Sporulation] Nonsporulating --- [Symbiotic Relationship] Mutualistic --- [Temperature Optimum] 28 --- [Temperature Range] Mesophile --- [Type Strain] No --- [biotic_relationship] symbiont --- [biovar] trifolii SRDI565 --- [depth] 0-10cm --- [environment] Host; Plant root; Root nodule; Soil --- [environment_biome_harmonized] not provided; submitted under MIGS 2.1 --- [feature] not provided; submitted under MIGS 2.1 --- [investigation_type] bacteria_archaea --- [material] not provided; submitted under MIGS 2.1 --- [pH] 5-8 --- [rel_to_oxygen] aerobe --- [trophic_level] chemoorganotroph	[-0.01574778931180315, 0.11909265667051133, 0.15378700499807765, 0.029773164167627833, -0.14769703960015382, -0.16633602460592078, 0.16633602460592078, 0.39369473279507883, 0.16000000000000003, -0.024605920799692427, 0.044844290657439445, -0.13016532103037293, 0.002214532871972318, 0.17279507881584008, 0.12456747404844293, -0.041584006151480196, -0.13016532103037293, 0.15378700499807765, 0.07111111111111111, 0.04822760476739715, -0.10340638216070744, 0.05173394848135333, -0.11374086889657825, -0.05536332179930796, 0.017777777777777778, -0.08421376393694734, 0.0629911572472126, -0.16000000000000003, -0.1929104190695886, -0.14173010380622836, -0.2364628988850442, -0.11909265667051133, -0.186082276047674, -0.16633602460592078, 0.09356401384083046, 0.003936947327950788, -0.0629911572472126, -0.019930795847750864, -0.12456747404844293, 0.11374086889657825, -0.16000000000000003, 0.03844675124951941, -0.14173010380622836, 0.041584006151480196, 0.2069357939254133, -0.12456747404844293, 0.0015378700499807767, -0.1085121107266436, -0.05536332179930796, 0.11909265667051133, 0.21413302575932336, -0.01384083044982699, -0.22145328719723184, 0.09356401384083046, -0.07111111111111111, -0.13588619761630144, 0.003936947327950788, -0.024605920799692427, -0.010396001537870049, -0.07972318339100345, -0.01384083044982699, 0.08421376393694734, 0.0271280276816609, 0.11909265667051133]
RS_GCF_000636035.1	SAMN02678121	41.34 N 2.10 E	41.34 N 2.10 E	1997-07-11	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Pasteurellaceae	g__Haemophilus	s__Haemophilus influenzae_E	1997-07-11	Spain: Barcelona, Hospital Universitari de Bellvitge	Homo sapiens	adult patient with underlying chronic lung disease			[collected_by] na --- [genotype] R --- [host_disease_harmonized] COPD --- [serotype] NTHi	[-0.08421376393694734, -0.3839138792772011, 0.09842368319876971, 0.186082276047674, 0.10340638216070744, 0.05536332179930796, 0.000984236831987697, 0.08421376393694734, 0.08421376393694734, 0.024605920799692427, -0.05173394848135333, -0.0629911572472126, -0.21413302575932336, -0.11374086889657825, 0.08421376393694734, -0.07535563244905807, -0.07972318339100345, 0.05536332179930796, -0.16000000000000003, 0.16633602460592078, -0.00024605920799692423, -0.004982698961937716, 0.017777777777777778, 0.13016532103037293, 0.019930795847750864, 0.17937716262975778, 0.05173394848135333, -0.01384083044982699, 0.22145328719723184, 0.019930795847750864, -0.004982698961937716, -0.012056901191849288, 0.006151480199923107, 0.03254133025759323, -0.024605920799692427, 0.10340638216070744, 0.03254133025759323, -0.08421376393694734, -0.10340638216070744, 0.2679584775086506, 0.2364628988850442, -0.07111111111111111, 0.041584006151480196, -0.09356401384083046, 0.10340638216070744, 0.07111111111111111, 0.03844675124951941, -0.07111111111111111, 0.13016532103037293, 0.05536332179930796, -0.16633602460592078, 0.33685505574778934, -0.14173010380622836, 0.05173394848135333, 0.13588619761630144, -0.24415224913494812, 0.06698961937716265, -0.003936947327950788, -0.1929104190695886, 0.0271280276816609, 0.07111111111111111, -0.14173010380622836, 0.03844675124951941, -0.041584006151480196]
RS_GCF_001046195.1	SAMN02795922	28.1000 N 81.6000 W	28.1000 N 81.6000 W	2009	PRJNA224116	d__Bacteria	p__Bacillota	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus aureus	2009	USA: Florida	Homo sapiens	nares			[collected_by] Fred Tenover --- [host_disease_harmonized] Colonization	[-0.041584006151480196, -0.2288965782391388, 0.006151480199923107, 0.186082276047674, -0.2519646289888504, -0.0629911572472126, 0.14769703960015382, -0.05173394848135333, 0.044844290657439445, 0.1085121107266436, -0.03543252595155709, -0.12456747404844293, -0.07535563244905807, 0.05536332179930796, -0.11909265667051133, 0.186082276047674, -0.029773164167627833, 0.13588619761630144, 0.03844675124951941, 0.09842368319876971, -0.08882737408688965, 0.16633602460592078, 0.07535563244905807, -0.041584006151480196, 0.05536332179930796, 0.0271280276816609, -0.13588619761630144, -0.044844290657439445, 0.0271280276816609, 0.1929104190695886, 0.22145328719723184, -0.08421376393694734, -0.09842368319876971, 0.08421376393694734, -0.2599000384467512, 0.09842368319876971, 0.004982698961937716, 0.044844290657439445, -0.07535563244905807, 0.004982698961937716, 0.2364628988850442, -0.11374086889657825, 0.1085121107266436, 0.09356401384083046, -0.07535563244905807, -0.041584006151480196, -0.006151480199923107, -0.2519646289888504, 0.16000000000000003, 0.05911572472126105, -0.024605920799692427, 0.006151480199923107, -0.15378700499807765, 0.11374086889657825, 0.17279507881584008, -0.13588619761630144, 0.05911572472126105, 0.07972318339100345, 0.12456747404844293, -0.33685505574778934, 0.13588619761630144, 0.07972318339100345, -0.041584006151480196, -0.044844290657439445]
RS_GCF_000709435.1	SAMN02851311	48.51 N 2.21 E	48.51 N 2.21 E	2011	PRJNA224116	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Dwaynesavagella	s__Dwaynesavagella sp000270205	2011	France: Paris	Mus musculus				[comment] the sample originates from SFB monoassociated mice --- [environment_biome_harmonized] gut --- [environment_feature_harmonized] cecum --- [environment_material_harmonized] microbiota	[-0.05536332179930796, -0.2069357939254133, -0.11374086889657825, 0.07535563244905807, 0.12456747404844293, -0.03844675124951941, 0.10340638216070744, -0.07111111111111111, 0.08421376393694734, -0.07535563244905807, -0.004982698961937716, -0.03844675124951941, -0.2288965782391388, -0.029773164167627833, -0.17279507881584008, -0.03543252595155709, -0.003014225297962322, 0.11909265667051133, -0.022206843521722412, 0.2761399461745483, -0.03543252595155709, -0.09356401384083046, -0.05911572472126105, 0.12456747404844293, 0.1929104190695886, 0.2069357939254133, 0.14769703960015382, -0.08421376393694734, 0.21413302575932336, -0.03254133025759323, -0.07972318339100345, 0.0015378700499807767, -0.002214532871972318, 0.17279507881584008, 0.006151480199923107, 0.04822760476739715, -0.2679584775086506, -0.13016532103037293, -0.12456747404844293, 0.07972318339100345, -0.024605920799692427, -0.007443291041906958, 0.044844290657439445, 0.019930795847750864, -0.06698961937716265, -0.006151480199923107, -0.1929104190695886, -0.14769703960015382, 0.09842368319876971, -0.09356401384083046, -0.2761399461745483, 0.0629911572472126, 0.14769703960015382, -0.05536332179930796, 0.16000000000000003, -0.24415224913494812, 0.0015378700499807767, -0.008858131487889272, -0.022206843521722412, -0.08421376393694734, 0.19986159169550174, -0.044844290657439445, -0.19986159169550174, -0.13588619761630144]
RS_GCF_001647475.1	SAMN03076172	29.46 N 98.41 W	29.46 N 98.41 W	2008-01-25	PRJNA224116	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella pneumoniae	2008-01-25	USA:Fort Sam Houston	Homo sapiens	wound			[collected_by] SAMMC staff --- [genotype] Kp PFT 17 --- [host_disease_harmonized] Infection --- [host_tissue_sampled] wound	[0.0271280276816609, -0.21413302575932336, 0.09842368319876971, 0.186082276047674, -0.08882737408688965, -0.16633602460592078, -0.07111111111111111, -0.05173394848135333, -0.19986159169550174, -0.029773164167627833, -0.05536332179930796, -0.019930795847750864, -0.16000000000000003, -0.19986159169550174, -0.05536332179930796, -0.01384083044982699, 0.04822760476739715, 0.10340638216070744, -0.01384083044982699, -0.16633602460592078, -0.044844290657439445, -0.09356401384083046, -0.2288965782391388, -0.08882737408688965, -0.1085121107266436, 0.07535563244905807, -0.010396001537870049, 0.024605920799692427, -0.17279507881584008, 0.17279507881584008, 0.17937716262975778, -0.17937716262975778, 0.13588619761630144, -0.14769703960015382, -0.003014225297962322, 0.2761399461745483, -0.09356401384083046, -0.04822760476739715, -0.08421376393694734, 0.13016532103037293, 0.041584006151480196, 0.019930795847750864, -0.03254133025759323, 0.13588619761630144, -0.08882737408688965, 0.15378700499807765, 0.019930795847750864, -0.09356401384083046, -0.03844675124951941, -0.13588619761630144, 0.022206843521722412, 0.17279507881584008, -0.3188927335640138, 0.14173010380622836, 0.13016532103037293, -0.13588619761630144, 0.012056901191849288, 0.17279507881584008, 0.14173010380622836, 0.022206843521722412, -0.07535563244905807, -0.07111111111111111, -0.010396001537870049, 0.12456747404844293]
RS_GCF_001699855.1	SAMN03839334	47.00 N 110.00 W	47.00 N 110.00 W	1987	PRJNA224116	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	1987	USA	Homo sapiens	stool sample			[collected_by] LL Myers --- [host_disease_harmonized] Diarrheal disease	[0.03844675124951941, -0.13016532103037293, 0.09356401384083046, 0.03254133025759323, 0.09842368319876971, -0.0015378700499807767, 0.08421376393694734, 0.05173394848135333, -0.1085121107266436, -0.01574778931180315, -0.07972318339100345, -0.24415224913494812, 0.07111111111111111, -0.003936947327950788, -0.16000000000000003, 0.19986159169550174, 0.06698961937716265, -0.029773164167627833, 0.10340638216070744, 0.012056901191849288, -0.08421376393694734, -0.14769703960015382, 0.1085121107266436, 0.0629911572472126, 0.14173010380622836, -0.041584006151480196, -0.03844675124951941, -0.2069357939254133, 0.1085121107266436, 0.11374086889657825, -0.004982698961937716, 0.07972318339100345, 0.12456747404844293, -0.08882737408688965, -0.17937716262975778, 0.11374086889657825, 0.06698961937716265, 0.22145328719723184, -0.09356401384083046, -0.008858131487889272, -0.03543252595155709, -0.01574778931180315, -0.15378700499807765, -0.09842368319876971, -0.007443291041906958, -0.04822760476739715, 0.13588619761630144, -0.14173010380622836, -0.03543252595155709, -0.2761399461745483, 0.2069357939254133, -0.15378700499807765, -0.16633602460592078, 0.09356401384083046, 0.16633602460592078, 0.13016532103037293, -0.13588619761630144, -0.2761399461745483, -0.2288965782391388, 0.12456747404844293, 0.07972318339100345, -0.09842368319876971, 0.019930795847750864, 0.186082276047674]
RS_GCF_001266905.1	SAMN03876608	48.13 N 1.31 W	48.13 N 1.31 W	2009	PRJNA224116	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_H	s__Clostridium_H botulinum_A	2009	France: Ille et Vilaine	Bovine	Cattle Farm			[collected_by] LaboCEA --- [genotype] D/C --- [serotype] Group III	[-0.2288965782391388, -0.10340638216070744, -0.22145328719723184, 0.186082276047674, -0.05911572472126105, -0.24415224913494812, 0.07111111111111111, 0.2288965782391388, 0.2761399461745483, -0.05911572472126105, 0.1085121107266436, -0.06698961937716265, -0.15378700499807765, 0.06698961937716265, -0.15378700499807765, 0.05911572472126105, -0.1085121107266436, 0.03844675124951941, -0.07535563244905807, 0.05536332179930796, 0.03543252595155709, 0.10340638216070744, -6.151480199923106e-05, 0.17279507881584008, 0.08882737408688965, 0.16000000000000003, 0.1085121107266436, 0.007443291041906958, 0.05173394848135333, 0.041584006151480196, -0.09842368319876971, 0.05173394848135333, 0.07111111111111111, 0.06698961937716265, 0.11374086889657825, -0.07972318339100345, -0.2519646289888504, -0.05911572472126105, -0.07535563244905807, -0.12456747404844293, -0.03543252595155709, -0.019930795847750864, 0.1929104190695886, -0.15378700499807765, -0.07111111111111111, -0.06698961937716265, -0.0271280276816609, -0.041584006151480196, 0.2679584775086506, -0.08882737408688965, -0.29287197231833906, 0.07111111111111111, 0.03543252595155709, 0.017777777777777778, 0.12456747404844293, -0.01574778931180315, 0.07535563244905807, 0.029773164167627833, -0.1085121107266436, 0.03254133025759323, 0.08882737408688965, -0.2069357939254133, -0.06698961937716265, -0.03543252595155709]
RS_GCF_001659785.1	SAMN04219460	6.1750 S 106.8283 E	6.1750 S 106.8283 E	2010	PRJNA224116	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Dietzia	s__Dietzia timorensis	2010	Indonesia: West Timor		soil under mahogany trees			[environment_biome_harmonized] under mahogany trees --- [environment_feature_harmonized] Island --- [environment_material_harmonized] soil --- [isol_growth_condt] 19654365 --- [ref_biomaterial] primary pubication --- [type-material] type strain of Dietzia timorensis	[0.0629911572472126, -0.06698961937716265, 0.05911572472126105, 0.007443291041906958, -0.12456747404844293, 0.10340638216070744, 0.1085121107266436, -0.07535563244905807, -0.06698961937716265, 0.05911572472126105, 0.16633602460592078, 0.041584006151480196, -0.13588619761630144, -0.03254133025759323, -0.01384083044982699, -0.05173394848135333, 0.024605920799692427, 0.05536332179930796, -0.044844290657439445, 0.05536332179930796, 0.03543252595155709, 0.22145328719723184, -0.2599000384467512, 0.017777777777777778, -0.16633602460592078, 0.2599000384467512, 0.09842368319876971, -0.05911572472126105, 0.05173394848135333, 0.10340638216070744, 0.08421376393694734, 0.01574778931180315, -0.2679584775086506, 0.05911572472126105, 0.11909265667051133, 0.22145328719723184, -0.03543252595155709, -0.13588619761630144, -0.06698961937716265, 0.33685505574778934, -0.010396001537870049, -0.01384083044982699, -0.05173394848135333, 0.06698961937716265, -0.15378700499807765, -0.08882737408688965, 0.05911572472126105, -0.008858131487889272, -0.05173394848135333, 0.03844675124951941, 0.08882737408688965, 0.07111111111111111, -0.31009611687812383, 0.17937716262975778, 0.1929104190695886, -0.08882737408688965, 0.0271280276816609, 0.07535563244905807, 0.004982698961937716, 0.28444444444444444, 0.16000000000000003, 0.08421376393694734, -0.06698961937716265, -0.041584006151480196]
