parent_term,count,label
ENVO:01000813,355002,astronomical body part
RO:0002577,265584,system
ENVO:01000254,254317,environmental system
ENVO:01001110,234341,ecosystem
ENVO:00000428,192890,biome
ENVO:01001787,77398,aquatic ecosystem
ENVO:00002030,76789,aquatic biome
ENVO:01000997,68709,environmental system determined by a quality
ENVO:01001790,67262,terrestrial ecosystem
ENVO:00010483,63777,environmental material
ENVO:01001784,61703,compound astronomical body part
ENVO:00000446,55074,terrestrial biome
ENVO:01000320,41951,marine environment
ENVO:01001477,40942,liquid astronomical body part
ENVO:01001479,40942,fluid astronomical body part
ENVO:00000063,40784,water body
ENVO:01001476,40784,body of liquid
ENVO:01000685,40784,water mass
ENVO:01001788,40594,marine ecosystem
ENVO:00000447,40215,marine biome
ENVO:01000313,35904,anthropogenic environment
ENVO:01001828,27768,anthropised ecosystem
ENVO:00001998,25095,soil
ENVO:01000617,24182,lentic water body
ENVO:01001243,23824,forest ecosystem
ENVO:01001789,23664,freshwater ecosystem
ENVO:00000873,23639,freshwater biome
ENVO:00000191,20021,solid astronomical body part
ENVO:01000408,18177,environmental zone
ENVO:01001199,18162,terrestrial environmental zone
ENVO:02000140,18062,fluid environmental material
ENVO:01000815,17636,liquid environmental material
ENVO:00002006,17619,liquid water
ENVO:01001886,17543,landform
ENVO:01000174,17518,forest biome
ENVO:01001305,14630,vegetated area
ENVO:00000029,14391,watercourse
ENVO:01000618,14391,lotic water body
ENVO:01000253,14142,freshwater river biome
ENVO:01000352,14058,field
ENVO:00000000,13386,geographic feature
ENVO:01001884,12971,surface landform
ENVO:01001055,12761,environment associated with an animal part or small animal
ENVO:00000114,12615,agricultural field
ENVO:00001999,11875,marine water body
ENVO:01001319,11838,saline water body
ENVO:00000012,11243,hydrographic feature
ENVO:01001209,11099,wetland ecosystem
ENVO:00000890,11044,small river biome
ENVO:00000020,11025,lake
ENVO:00000077,10977,agricultural ecosystem
ENVO:01001000,10357,environmental system determined by an organism
ENVO:01001206,9988,grassland ecosystem
