term,count,percentage,label
ENVO:00001998,78653,17.367,soil
ENVO:00002006,23188,5.12,liquid water
ENVO:00002149,21928,4.842,sea water
ENVO:00002003,16088,3.552,fecal material
ENVO:00002007,15755,3.479,sediment
ENVO:00002259,11997,2.649,agricultural soil
ENVO:00002261,9696,2.141,forest soil
ENVO:00002011,9427,2.082,fresh water
ENVO:01000301,9206,2.033,estuarine water
ENVO:00002001,8648,1.91,waste water
ENVO:00000029,8303,1.833,watercourse
ENVO:00002150,7845,1.732,coastal sea water
ENVO:00005801,7082,1.564,rhizosphere
ENVO:00000111,7048,1.556,forested area
ENVO:00005802,7028,1.552,bulk soil
ENVO:04000007,6875,1.518,lake water
ENVO:00000077,6088,1.344,agricultural ecosystem
ENVO:03501217,5765,1.273,tissue paper
ENVO:00010483,5440,1.201,environmental material
ENVO:00000241,5435,1.2,tidal mudflat
ENVO:00002046,5243,1.158,activated sludge
ENVO:01001121,5212,1.151,plant matter
ENVO:00002005,5084,1.123,air
ENVO:00000023,5024,1.109,stream
ENVO:00002127,4529,1.0,stream sediment
ENVO:01000599,4428,0.978,river water
ENVO:00000051,4407,0.973,hot spring
ENVO:01001004,4111,0.908,groundwater
ENVO:00005755,3887,0.858,field soil
ENVO:00000114,3831,0.846,agricultural field
ENVO:03000033,3824,0.844,marine sediment
ENVO:00002141,3590,0.793,leachate
ENVO:01000155,3492,0.771,organic material
ENVO:00000035,3443,0.76,marsh
ENVO:00002034,3098,0.684,biofilm
ENVO:00000016,2818,0.622,sea
ENVO:2100003,2749,0.607,skin environment
ENVO:00002042,2297,0.507,surface water
ENVO:01000349,2189,0.483,root matter
ENVO:02000059,1987,0.439,surface soil
ENVO:01000017,1721,0.38,sand
ENVO:00000428,1686,0.372,biome
ENVO:00000100,1674,0.37,valley
ENVO:01000628,1630,0.36,plant litter
ENVO:00002160,1604,0.354,estuarine mud
ENVO:00002044,1513,0.334,sludge
ENVO:01001001,1430,0.316,plant-associated environment
ENVO:00000109,1430,0.316,woodland area
ENVO:00002200,1400,0.309,sea ice
ENVO:00005774,1388,0.306,peat soil
ENVO:01001044,1385,0.306,soil environment
ENVO:00003044,1261,0.278,brine
ENVO:01001029,1228,0.271,fecal environment
ENVO:01000220,1217,0.269,tropical woodland biome
ENVO:02000140,1205,0.266,fluid environmental material
ENVO:00000172,1200,0.265,sandy desert
ENVO:00000020,1171,0.259,lake
ENVO:01000635,1150,0.254,planetary landmass
ENVO:00002113,1149,0.254,deep marine sediment
ENVO:01000909,1106,0.244,biocrust
ENVO:00002229,1038,0.229,arenosol
ENVO:01001838,1032,0.228,arid biome
ENVO:00002228,1016,0.224,pond water
ENVO:01000023,976,0.216,marine pelagic biome
ENVO:00000011,973,0.215,garden
ENVO:00000015,945,0.209,ocean
ENVO:00002129,939,0.207,anaerobic sludge
ENVO:06105011,937,0.207,water column
ENVO:00002123,928,0.205,bioreactor
ENVO:00000022,904,0.2,river
ENVO:00000021,893,0.197,freshwater lake
ENVO:00005750,882,0.195,grassland soil
ENVO:2100002,879,0.194,intestine environment
ENVO:01000156,868,0.192,biofilm material
ENVO:00003965,868,0.192,anaerobic digester sludge
ENVO:00000215,836,0.185,hydrothermal vent
ENVO:00000098,832,0.184,island
ENVO:01001201,830,0.183,marine environmental zone
ENVO:01000063,824,0.182,planktonic material
ENVO:00000546,817,0.18,lake sediment
ENVO:00001995,783,0.173,rock
ENVO:01000373,771,0.17,biological waste material
ENVO:01001048,768,0.17,sediment environment
ENVO:00002223,763,0.168,oligotrophic water
ENVO:01001395,757,0.167,necromass
ENVO:02500019,743,0.164,obsolete alga
ENVO:00005740,726,0.16,paddy field soil
ENVO:01001181,725,0.16,rhizoplane
ENVO:00002179,725,0.16,intertidal sediment
ENVO:00000300,692,0.153,scrubland area
ENVO:01000739,691,0.153,habitat
ENVO:01000964,690,0.152,industrial wastewater
ENVO:03605006,671,0.148,stream water
ENVO:01000254,658,0.145,environmental system
ENVO:03000096,654,0.144,season
ENVO:01000321,635,0.14,sea water environment
ENVO:03605007,626,0.138,freshwater stream
ENVO:01000008,624,0.138,microbial mat
ENVO:00002018,623,0.138,sewage
ENVO:03600065,610,0.135,spring water
ENVO:03000034,599,0.132,shallow marine sediment
ENVO:01000600,596,0.132,rainwater
ENVO:01001020,592,0.131,hypersaline lake
ENVO:01001050,591,0.13,saline sediment environment
ENVO:00005749,586,0.129,farm soil
ENVO:00010506,576,0.127,emulsion
ENVO:03605001,570,0.126,epilithon
ENVO:02000040,569,0.126,mucus material
ENVO:00000150,566,0.125,coral reef
ENVO:00002264,565,0.125,waste material
ENVO:01000212,556,0.123,temperate mixed forest biome
ENVO:01000854,543,0.12,tropical marine coral reef biome
ENVO:01000247,530,0.117,rangeland biome
ENVO:01001179,523,0.115,cnidarian-associated environment
ENVO:01000352,522,0.115,field
ENVO:00002008,521,0.115,dust
ENVO:00002010,504,0.111,saline water
ENVO:00000003,492,0.109,mine tailing
ENVO:01000892,490,0.108,area of cropland
ENVO:01000024,480,0.106,marine benthic biome
ENVO:06105101,466,0.103,plastic
ENVO:00005773,466,0.103,pasture soil
ENVO:01001000,462,0.102,environmental system determined by an organism
ENVO:00000266,454,0.1,pasture
ENVO:01000556,453,0.1,biogas
ENVO:00000167,452,0.1,bar
