parent_term,count,label
ENVO:00010483,328891,environmental material
ENVO:01000813,223439,astronomical body part
ENVO:00001998,121039,soil
ENVO:02000140,117405,fluid environmental material
ENVO:01000815,110502,liquid environmental material
ENVO:00002006,110195,liquid water
RO:0002577,48338,system
ENVO:01000254,46509,environmental system
ENVO:00002010,41292,saline water
ENVO:01001784,36286,compound astronomical body part
ENVO:01000155,34111,organic material
ENVO:01001110,34068,ecosystem
ENVO:01000060,31614,particulate environmental material
ENVO:00002149,29773,sea water
ENVO:00002007,28036,sediment
ENVO:00002264,27587,waste material
ENVO:01001479,24128,fluid astronomical body part
ENVO:01001477,24088,liquid astronomical body part
ENVO:01000685,22570,water mass
ENVO:01001476,22570,body of liquid
ENVO:00000063,22567,water body
ENVO:02000019,17275,bodily fluid material
ENVO:02000022,16144,excreta material
ENVO:00002003,16088,fecal material
ENVO:01000618,15144,lotic water body
ENVO:00000029,15136,watercourse
ENVO:00002259,12742,agricultural soil
ENVO:00000191,12195,solid astronomical body part
ENVO:01000408,11599,environmental zone
ENVO:01001199,11599,terrestrial environmental zone
ENVO:00002011,11386,fresh water
ENVO:01001305,10181,vegetated area
ENVO:0010001,10003,anthropogenic environmental material
ENVO:00002186,9961,contaminated water
ENVO:00002001,9961,waste water
ENVO:00002261,9790,forest soil
ENVO:00002019,9652,brackish water
ENVO:00000428,9267,biome
ENVO:01000301,9206,estuarine water
ENVO:01001209,9167,wetland ecosystem
ENVO:01001886,9001,landform
ENVO:01000814,8873,solid environmental material
ENVO:00003074,8693,manufactured product
ENVO:00002044,8632,sludge
ENVO:01000313,8481,anthropogenic environment
ENVO:00000109,8478,woodland area
ENVO:01001828,8105,anthropised ecosystem
ENVO:01000997,7986,environmental system determined by a quality
ENVO:00002150,7845,coastal sea water
ENVO:01000617,7248,lentic water body
ENVO:00000077,7089,agricultural ecosystem
ENVO:00005801,7082,rhizosphere
ENVO:00000111,7048,forested area
ENVO:00005802,7028,bulk soil
ENVO:04000007,6875,lake water
ENVO:01000281,6689,layer
ENVO:00000023,6627,stream
ENVO:01001884,6391,surface landform
ENVO:00003895,5779,paper product
ENVO:03501217,5765,tissue paper
ENVO:03000033,5572,marine sediment
ENVO:01000797,5554,gaseous environmental material
ENVO:00000230,5543,coastal wetland ecosystem
ENVO:00000192,5444,mudflat
ENVO:00000241,5435,tidal mudflat
ENVO:00000027,5367,spring
ENVO:00010504,5359,surface layer
ENVO:01001684,5359,interface layer
ENVO:00002046,5243,activated sludge
ENVO:01001121,5232,plant matter
ENVO:03605006,5099,stream water
ENVO:01001275,5086,solid layer
ENVO:00002005,5084,air
ENVO:01001311,4969,solid surface layer
ENVO:01000998,4666,environmental system determined by a material
ENVO:00005755,4632,field soil
ENVO:01000352,4587,field
BFO:0000030,4576,object
ENVO:01001686,4568,mass of environmental material
