Source	Scale	Class	Precision	Recall_Sensitivity	Specificity	F1	Support
GOLD	broad_scale	ENVO:00000044	0.0	0.0	1.0	0.0	1
GOLD	broad_scale	ENVO:00000446	0.8754448398576512	0.7343283582089553	0.9306930693069307	0.7987012987012987	335
GOLD	broad_scale	ENVO:00000447	0.9423076923076923	0.9423076923076923	0.9961928934010152	0.9423076923076923	52
GOLD	broad_scale	ENVO:00000873	1.0	0.6206896551724138	1.0	0.7659574468085106	29
GOLD	broad_scale	ENVO:00002030	0.8571428571428571	0.75	0.9963235294117647	0.8	24
GOLD	broad_scale	ENVO:01000020	0.5882352941176471	0.9090909090909091	0.991556091676719	0.7142857142857143	11
GOLD	broad_scale	ENVO:01000024	0.875	1.0	0.9987995198079231	0.9333333333333333	7
GOLD	broad_scale	ENVO:01000030	1.0	1.0	1.0	1.0	1
GOLD	broad_scale	ENVO:01000035	1.0	1.0	1.0	1.0	11
GOLD	broad_scale	ENVO:01000049	1.0	1.0	1.0	1.0	1
GOLD	broad_scale	ENVO:01000174	0.36666666666666664	0.6470588235294118	0.976913730255164	0.46808510638297873	17
GOLD	broad_scale	ENVO:01000176	1.0	1.0	1.0	1.0	6
GOLD	broad_scale	ENVO:01000177	0.6756756756756757	1.0	0.9852760736196319	0.8064516129032258	25
GOLD	broad_scale	ENVO:01000179	0.5	1.0	0.9976133651551312	0.6666666666666666	2
GOLD	broad_scale	ENVO:01000181	0.0	0.0	1.0	0.0	2
GOLD	broad_scale	ENVO:01000189	0.42857142857142855	1.0	0.995221027479092	0.6	3
GOLD	broad_scale	ENVO:01000196	1.0	1.0	1.0	1.0	6
GOLD	broad_scale	ENVO:01000215	0.5	1.0	0.9976133651551312	0.6666666666666666	2
GOLD	broad_scale	ENVO:01000219	0.38571428571428573	0.9642857142857143	0.9470443349753694	0.5510204081632653	28
GOLD	broad_scale	ENVO:01000221	0.4	0.3333333333333333	0.9964028776978417	0.36363636363636365	6
GOLD	broad_scale	ENVO:01000222	0.3333333333333333	1.0	0.9976162097735399	0.5	1
GOLD	broad_scale	ENVO:01000249	1.0	1.0	1.0	1.0	4
GOLD	broad_scale	ENVO:01000252	0.9712230215827338	0.9507042253521126	0.994269340974212	0.9608540925266904	142
GOLD	broad_scale	ENVO:01000253	0.8444444444444444	0.7307692307692307	0.9809782608695652	0.7835051546391752	104
GOLD	broad_scale	ENVO:01000339	0.75	0.9	0.9963855421686747	0.8181818181818182	10
GOLD	broad_scale	ENVO:01001001	0.4	1.0	0.9964200477326969	0.5714285714285714	2
GOLD	broad_scale	ENVO:01001830	1.0	1.0	1.0	1.0	1
GOLD	broad_scale	ENVO:01001834	1.0	1.0	1.0	1.0	1
GOLD	broad_scale	ENVO:01001835	0.0	0.0	1.0	0.0	1
GOLD	broad_scale	ENVO:01001837	0.6666666666666666	0.8	0.9976047904191617	0.7272727272727273	5
GOLD	local_scale	ENVO:00000002	1.0	0.5	1.0	0.6666666666666666	2
GOLD	local_scale	ENVO:00000011	0.2	0.5	0.9952267303102625	0.2857142857142857	2
GOLD	local_scale	ENVO:00000014	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:00000016	0.0	0.0	1.0	0.0	1
GOLD	local_scale	ENVO:00000019	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:00000020	0.3333333333333333	0.5	0.9976133651551312	0.4	2
GOLD	local_scale	ENVO:00000021	0.9529411764705882	0.7941176470588235	0.994579945799458	0.8663101604278075	102
GOLD	local_scale	ENVO:00000022	0.8279569892473119	0.7403846153846154	0.9782608695652174	0.7817258883248731	104
GOLD	local_scale	ENVO:00000025	0.8	0.6153846153846154	0.9975816203143894	0.6956521739130435	13
GOLD	local_scale	ENVO:00000026	0.0	0.0	0.9976190476190476	0.0	0
GOLD	local_scale	ENVO:00000027	0.3333333333333333	1.0	0.9976162097735399	0.5	1
GOLD	local_scale	ENVO:00000032	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:00000033	1.0	1.0	1.0	1.0	4
GOLD	local_scale	ENVO:00000038	0.0	0.0	0.9976190476190476	0.0	0
GOLD	local_scale	ENVO:00000039	1.0	0.7	1.0	0.8235294117647058	10
GOLD	local_scale	ENVO:00000043	0.7777777777777778	0.7777777777777778	0.9975932611311673	0.7777777777777778	9
GOLD	local_scale	ENVO:00000044	0.7142857142857143	1.0	0.9951807228915662	0.8333333333333334	10
GOLD	local_scale	ENVO:00000045	0.7272727272727273	0.8888888888888888	0.9963898916967509	0.8	9
GOLD	local_scale	ENVO:00000050	0.0	0.0	1.0	0.0	1
GOLD	local_scale	ENVO:00000051	0.9166666666666666	0.7857142857142857	0.9987893462469734	0.8461538461538461	14
GOLD	local_scale	ENVO:00000055	1.0	1.0	1.0	1.0	2
GOLD	local_scale	ENVO:00000057	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:00000058	1.0	0.5	1.0	0.6666666666666666	2
GOLD	local_scale	ENVO:00000067	0.0	0.0	0.997610513739546	0.0	3
GOLD	local_scale	ENVO:00000076	0.0	0.0	0.9976162097735399	0.0	1
GOLD	local_scale	ENVO:00000081	0.0	0.0	1.0	0.0	1
GOLD	local_scale	ENVO:00000083	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:00000100	0.6923076923076923	0.8181818181818182	0.9951749095295537	0.75	11
GOLD	local_scale	ENVO:00000108	0.8	1.0	0.9988038277511961	0.8888888888888888	4
GOLD	local_scale	ENVO:00000109	0.0	0.0	0.9964285714285714	0.0	0
GOLD	local_scale	ENVO:00000110	0.0	0.0	1.0	0.0	1
GOLD	local_scale	ENVO:00000111	0.0	0.0	1.0	0.0	1
GOLD	local_scale	ENVO:00000114	0.43478260869565216	0.2702702702702703	0.9838107098381071	0.3333333333333333	37
GOLD	local_scale	ENVO:00000137	1.0	1.0	1.0	1.0	2
GOLD	local_scale	ENVO:00000141	0.0	0.0	1.0	0.0	1
GOLD	local_scale	ENVO:00000143	0.5	0.3333333333333333	0.9976019184652278	0.4	6
GOLD	local_scale	ENVO:00000150	1.0	1.0	1.0	1.0	1
GOLD	local_scale	ENVO:00000195	1.0	1.0	1.0	1.0	1
GOLD	local_scale	ENVO:00000216	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:00000230	0.7142857142857143	0.8333333333333334	0.9976019184652278	0.7692307692307693	6
GOLD	local_scale	ENVO:00000232	0.6	1.0	0.997610513739546	0.75	3
GOLD	local_scale	ENVO:00000234	0.625	0.7142857142857143	0.9963985594237695	0.6666666666666666	7
GOLD	local_scale	ENVO:00000240	0.0	0.0	0.99880810488677	0.0	1
GOLD	local_scale	ENVO:00000247	0.0	0.0	1.0	0.0	1
GOLD	local_scale	ENVO:00000248	0.0	0.0	1.0	0.0	1
GOLD	local_scale	ENVO:00000254	0.0	0.0	1.0	0.0	1
GOLD	local_scale	ENVO:00000255	0.3333333333333333	1.0	0.9976162097735399	0.5	1
GOLD	local_scale	ENVO:00000260	0.7777777777777778	1.0	0.9975990396158463	0.875	7
GOLD	local_scale	ENVO:00000264	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:00000266	1.0	1.0	1.0	1.0	5
GOLD	local_scale	ENVO:00000292	0.8055555555555556	0.8529411764705882	0.9913151364764268	0.8285714285714286	34
GOLD	local_scale	ENVO:00000297	1.0	1.0	1.0	1.0	1
GOLD	local_scale	ENVO:00000309	0.0	0.0	1.0	0.0	2
GOLD	local_scale	ENVO:00000367	0.875	1.0	0.9987995198079231	0.9333333333333333	7
GOLD	local_scale	ENVO:00000402	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:00000444	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:00000469	0.3333333333333333	1.0	0.9976162097735399	0.5	1
GOLD	local_scale	ENVO:00000481	0.0	0.0	1.0	0.0	1
GOLD	local_scale	ENVO:00000489	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:00000511	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:00000533	0.0	0.0	0.9988095238095238	0.0	0
GOLD	local_scale	ENVO:00000565	0.5	0.3333333333333333	0.998805256869773	0.4	3
GOLD	local_scale	ENVO:00001997	0.0	0.0	0.9976190476190476	0.0	0
GOLD	local_scale	ENVO:00001999	1.0	0.3333333333333333	1.0	0.5	3
GOLD	local_scale	ENVO:00002130	0.875	1.0	0.9975786924939467	0.9333333333333333	14
